"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\base.css", "CSS", 0, 5, 0, 0, 0, 5
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\common.css", "CSS", 0, 53, 0, 0, 3, 56
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\fuwuquzhidaostyle.css", "CSS", 0, 135, 0, 0, 3, 138
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\index.css", "CSS", 0, 5, 0, 0, 0, 5
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\sec.css", "CSS", 0, 6, 0, 0, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\shangchuan-dibiao.css", "CSS", 0, 2, 0, 0, 0, 2
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\shangchuanhis.css", "CSS", 0, 79, 0, 15, 18, 112
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\fuwuquzhidao.html", "HTML", -20, 0, 0, 0, -22, -42
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index.html", "HTML", 15, 0, 0, 1, -1, 15
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index1.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index2.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\jdhistory.html", "HTML", 73, 0, 0, 0, 1, 74
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\club.js", "JavaScript", 0, 0, 127, 0, 7, 134
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\fengongstylechange.js", "JavaScript", 0, 0, 36, 0, 0, 36
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\fuwuqu_time.js", "JavaScript", 0, 0, 12, 1, 0, 13
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\login.html", "HTML", 164, 0, 0, 7, 24, 195
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\swjtudb.html", "HTML", 9, 0, 0, 0, 1, 10
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\tiyujiankang.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\wenhuayishu.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\xiaoyuanfuwu.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\zhiyuangongyi.html", "HTML", 1, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\登录&注册.html", "HTML", -157, 0, 0, -7, -24, -188
"Total", "-", 90, 285, 175, 17, 10, 577