"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\404.html", "HTML", 50, 0, 0, 0, 0, 1, 12, 63
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\README.md", "Markdown", 0, 68, 0, 0, 0, 0, 42, 110
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap-theme.css", "CSS", 0, 0, 0, 581, 0, 6, 0, 587
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 6826, 0, 8, 0, 6834
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 288, 0, 0, 288
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\jQuery\jquery-3.6.1.js", "JavaScript", 0, 0, 6902, 0, 0, 1922, 2086, 10910
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 1752, 0, 0, 211, 618, 2581
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\npm.js", "JavaScript", 0, 0, 12, 0, 0, 1, 0, 13
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\base.css", "CSS", 0, 0, 0, 22, 0, 5, 3, 30
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\common.css", "CSS", 0, 0, 0, 769, 0, 28, 26, 823
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\css.css", "CSS", 0, 0, 0, 336, 0, 4, 10, 350
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\denglu.css", "CSS", 0, 0, 0, 222, 0, 4, 38, 264
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\displayphoto.css", "CSS", 0, 0, 0, 52, 0, 0, 7, 59
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\fuwuquzhidaostyle.css", "CSS", 0, 0, 0, 135, 0, 0, 3, 138
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\griddisplay.css", "CSS", 0, 0, 0, 390, 0, 0, 46, 436
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\index.css", "CSS", 0, 0, 0, 534, 0, 20, 98, 652
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\navstyle.css", "CSS", 0, 0, 0, 177, 0, 0, 2, 179
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\pictrans.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\sec.css", "CSS", 0, 0, 0, 25, 0, 1, 2, 28
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\shangchuan-dibiao.css", "CSS", 0, 0, 0, 57, 0, 0, 8, 65
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\shangchuanhis.css", "CSS", 0, 0, 0, 79, 0, 15, 18, 112
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\style.css", "CSS", 0, 0, 0, 118, 0, 6, 2, 126
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\stylefuwuqu.css", "CSS", 0, 0, 0, 74, 0, 0, 7, 81
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\temphub.css", "CSS", 0, 0, 0, 53, 0, 0, 1, 54
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\doc\README副本.md", "Markdown", 0, 68, 0, 0, 0, 0, 42, 110
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\fuwuquzhidao.html", "HTML", 168, 0, 0, 0, 0, 2, 11, 181
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index.html", "HTML", 497, 0, 0, 0, 0, 10, 11, 518
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index1.html", "HTML", 41, 0, 0, 0, 0, 0, 3, 44
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\index2.html", "HTML", 127, 0, 0, 0, 0, 6, 12, 145
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\jdhistory.html", "HTML", 160, 0, 0, 0, 0, 2, 12, 174
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\animate.js", "JavaScript", 0, 0, 12, 0, 0, 0, 1, 13
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\click.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 14
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\club.js", "JavaScript", 0, 0, 127, 0, 0, 0, 7, 134
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\denglu.js", "JavaScript", 0, 0, 13, 0, 0, 2, 2, 17
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\displayphoto.js", "JavaScript", 0, 0, 78, 0, 0, 1, 7, 86
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\fengongstylechange.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 36
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\fuwuqu_time.js", "JavaScript", 0, 0, 12, 0, 0, 1, 0, 13
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\imgUpload.js", "JavaScript", 0, 0, 82, 0, 0, 7, 7, 96
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\mousecheck.js", "JavaScript", 0, 0, 23, 0, 0, 6, 1, 30
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\myjavascript.js", "JavaScript", 0, 0, 343, 0, 0, 14, 7, 364
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\shangchuan.js", "JavaScript", 0, 0, 37, 0, 0, 19, 7, 63
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\temp.html", "HTML", 12, 0, 0, 0, 0, 0, 6, 18
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\js\test.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\login.html", "HTML", 164, 0, 0, 0, 0, 7, 23, 194
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\nav.html", "HTML", 84, 0, 0, 0, 0, 0, 2, 86
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\navaside.html", "HTML", 43, 0, 0, 0, 0, 0, 0, 43
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\swjtudb.html", "HTML", 1199, 0, 0, 0, 0, 134, 11, 1344
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\test\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\tiyujiankang.html", "HTML", 93, 0, 0, 0, 0, 6, 4, 103
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\wenhuayishu.html", "HTML", 91, 0, 0, 0, 0, 6, 3, 100
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\xiaoyuanfuwu.html", "HTML", 86, 0, 0, 0, 0, 6, 3, 95
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\zhiyuangongyi.html", "HTML", 72, 0, 0, 0, 0, 6, 4, 82
"Total", "-", 2887, 137, 9445, 10452, 288, 2482, 3217, 28908